item,number,thisN,thisTrialN,thisRepN,slider_thinking_content.response,slider_thinking_content.rt,key_resp_thinking_content.keys,key_resp_thinking_content.rt,key_resp_thinking_content.duration,think_content_loop.thisRepN,think_content_loop.thisTrialN,think_content_loop.thisN,think_content_loop.thisIndex,thisRow.t,notes,welcome_screen.started,text_welcome.started,key_resp_welcome.started,welcome_screen.stopped,key_resp_welcome.keys,key_resp_welcome.rt,key_resp_welcome.duration,refresh.started,text_refresh.started,text_refresh.stopped,refresh.stopped,emotional_level.started,rate_emotion_prompt.started,slider_emotion.started,key_resp_emotion.started,emotional_level.stopped,slider_emotion.response,slider_emotion.rt,Rating,key_resp_emotion.keys,key_resp_emotion.rt,key_resp_emotion.duration,wait4trigger_scanner.started,wait4trigger_text.started,wait4trigger_text.stopped,wait4trigger_scanner.stopped,fake_stimulus.started,fake_stimulus_text.started,fake_stimulus.stopped,resting.started,fixation.started,resting.stopped,think_content.started,main_body_questionnaire.started,item_text.started,slider_thinking_content.started,key_resp_thinking_content.started,think_content.stopped,think_content_loop.slider_thinking_content.response,think_content_loop.slider_thinking_content.rt,think_content_loop.key_resp_thinking_content.keys,think_content_loop.key_resp_thinking_content.rt,think_content_loop.key_resp_thinking_content.duration,goodbye.started,goodbye_text.started,key_resp_goodbye.started,goodbye.stopped,key_resp_goodbye.keys,key_resp_goodbye.rt,key_resp_goodbye.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.015658700023777783,0.03217710001626983,0.03217710001626983,14.57612120002159,a,14.53585459999158,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2024-10-31_10h41.01.166,resting_state_demo,2024.2.4,59.67990088139299,2024-10-31 10h41.04.935303 -0400,
,,,,,,,,,,,,,,,,,,,,,,,14.576161900011357,14.588928300014231,14.901546300010523,14.873859200015431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2024-10-31_10h41.01.166,resting_state_demo,2024.2.4,59.67990088139299,2024-10-31 10h41.04.935303 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,14.874900399998296,14.901546300010523,14.901546300010523,14.901546300010523,17.009522200009087,None,None,8.0,a,2.097051899996586,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2024-10-31_10h41.01.166,resting_state_demo,2024.2.4,59.67990088139299,2024-10-31 10h41.04.935303 -0400,
,,,,,,,,,,,,,,,,,,,,,,,17.009569400019245,17.02445130000706,17.324915000004694,17.309483500022907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2024-10-31_10h41.01.166,resting_state_demo,2024.2.4,59.67990088139299,2024-10-31 10h41.04.935303 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.30956000002334,17.324915000004694,18.32560780001222,18.310341100004734,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2024-10-31_10h41.01.166,resting_state_demo,2024.2.4,59.67990088139299,2024-10-31 10h41.04.935303 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.31041710000136,18.32560780001222,20.311683300009463,,,,,,,,,,,,,,,,,,,,,,999,001,2024-10-31_10h41.01.166,resting_state_demo,2024.2.4,59.67990088139299,2024-10-31 10h41.04.935303 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.31176189999678,20.32746890000999,24.31429430001299,,,,,,,,,,,,,,,,,,,999,001,2024-10-31_10h41.01.166,resting_state_demo,2024.2.4,59.67990088139299,2024-10-31 10h41.04.935303 -0400,
,,,,,,,,,,,,,,,,,,,,,,,24.314359200012404,24.330987100023776,,24.63151220002328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2024-10-31_10h41.01.166,resting_state_demo,2024.2.4,59.67990088139299,2024-10-31 10h41.04.935303 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,24.634026900021126,24.657706099998904,24.657706099998904,24.657706099998904,26.235842199996114,None,None,7.0,a,1.5689917000127025,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2024-10-31_10h41.01.166,resting_state_demo,2024.2.4,59.67990088139299,2024-10-31 10h41.04.935303 -0400,
,,,,,,,,,,,,,,,,,,,,,,,26.235895799996797,26.24872050000704,26.564928300009342,26.533456100005424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999,001,2024-10-31_10h41.01.166,resting_state_demo,2024.2.4,59.67990088139299,2024-10-31 10h41.04.935303 -0400,
were about the past,1,0,0,0,None,None,a,1.4300030999875162,None,0,0,0,0,26.564928300009342,,,,,,,,,28.001284800004214,28.016929000004893,28.321984400012298,28.30158530001063,,,,,,,,3.0,,,,,,,,,,,,,,26.543980600021314,26.564928300009342,26.564928300009342,26.564928300009342,26.564928300009342,28.001235100004124,None,None,a,1.4300030999875162,None,,,,,,,,999,001,2024-10-31_10h41.01.166,resting_state_demo,2024.2.4,59.67990088139299,2024-10-31 10h41.04.935303 -0400,
were about the future,2,1,1,0,None,None,a,0.36857839999720454,None,0,1,1,1,28.321984400012298,,,,,,,,,28.701455900009023,28.717563400015933,,29.001679200009676,,,,,,,,5.0,,,,,,,,,,,,,,28.306153800018365,28.321984400012298,28.321984400012298,28.321984400012298,28.321984400012298,28.701398800010793,None,None,a,0.36857839999720454,None,,,,,,,,999,001,2024-10-31_10h41.01.166,resting_state_demo,2024.2.4,59.67990088139299,2024-10-31 10h41.04.935303 -0400,
were about myself,3,2,2,0,None,None,a,0.5331438999855891,None,0,2,2,2,29.0330008000019,,,,,,,,,29.57347650002339,29.58473000000231,29.89654720001272,29.869462400005432,,,,,,,,6.0,,,,,,,,,,,,,,29.008579000015743,29.0330008000019,29.0330008000019,29.0330008000019,29.0330008000019,29.57342620001873,None,None,a,0.5331438999855891,None,,,,,,,,999,001,2024-10-31_10h41.01.166,resting_state_demo,2024.2.4,59.67990088139299,2024-10-31 10h41.04.935303 -0400,
were about others,4,3,3,0,None,None,a,0.17184230001294054,None,0,3,3,3,29.89654720001272,,,,,,,,,30.081061300006695,30.089660099998582,,30.385993300005794,,,,,,,,5.0,,,,,,,,,,,,,,29.87443950001034,29.89654720001272,29.89654720001272,29.89654720001272,29.89654720001272,30.081017200020142,None,None,a,0.17184230001294054,None,,,,,,,,999,001,2024-10-31_10h41.01.166,resting_state_demo,2024.2.4,59.67990088139299,2024-10-31 10h41.04.935303 -0400,
were positive,5,4,4,0,None,None,a,0.025519599992549047,None,0,4,4,4,30.407309400005033,,,,,,,,,30.44022810002207,30.4521791000152,30.760118600010173,30.737776299996767,,,,,,,,5.0,,,,,,,,,,,,,,30.390087200008566,30.407309400005033,30.407309400005033,30.407309400005033,30.407309400005033,30.440175299998373,None,None,a,0.025519599992549047,None,,,,,,,,999,001,2024-10-31_10h41.01.166,resting_state_demo,2024.2.4,59.67990088139299,2024-10-31 10h41.04.935303 -0400,
were negative,6,5,5,0,None,None,a,0.3407700000097975,None,0,5,5,5,30.760118600010173,,,,,,,,,31.104736600012984,31.12006840002141,31.427401900000405,31.40438720001839,,,,,,,,5.0,,,,,,,,,,,,,,30.743520200019702,30.760118600010173,30.760118600010173,30.760118600010173,30.760118600010173,31.104676400020253,None,None,a,0.3407700000097975,None,,,,,,,,999,001,2024-10-31_10h41.01.166,resting_state_demo,2024.2.4,59.67990088139299,2024-10-31 10h41.04.935303 -0400,
were in the form of images,7,6,6,0,None,None,a,0.3205487999948673,None,0,6,6,6,31.427401900000405,,,,,,,,,31.75470530000166,31.76996330000111,32.08448310001404,32.054945600015344,,,,,,,,5.0,,,,,,,,,,,,,,31.410028400016017,31.427401900000405,31.427401900000405,31.427401900000405,31.427401900000405,31.754649400012568,None,None,a,0.3205487999948673,None,,,,,,,,999,001,2024-10-31_10h41.01.166,resting_state_demo,2024.2.4,59.67990088139299,2024-10-31 10h41.04.935303 -0400,
were in the form of words,8,7,7,0,None,None,a,0.30595399998128414,None,0,7,7,7,32.08448310001404,,,,,,,,,32.393124700000044,32.40367650002008,32.712636000011116,32.68878710002173,,,,,,,,5.0,,,,,,,,,,,,,,32.06409850000637,32.08448310001404,32.08448310001404,32.08448310001404,32.08448310001404,32.39307120000012,None,None,a,0.30595399998128414,None,,,,,,,,999,001,2024-10-31_10h41.01.166,resting_state_demo,2024.2.4,59.67990088139299,2024-10-31 10h41.04.935303 -0400,
made me feel happy,9,8,8,0,None,None,a,0.3456681999959983,None,0,8,8,8,32.712636000011116,,,,,,,,,33.07700260001002,33.08780440001283,33.39402850001352,33.3726011000108,,,,,,,,5.0,,,,,,,,,,,,,,32.693951000022935,32.712636000011116,32.712636000011116,32.712636000011116,32.712636000011116,33.076958500023466,None,None,a,0.3456681999959983,None,,,,,,,,999,001,2024-10-31_10h41.01.166,resting_state_demo,2024.2.4,59.67990088139299,2024-10-31 10h41.04.935303 -0400,
made me feel sad,10,9,9,0,None,None,a,0.4031232999986969,None,0,9,9,9,33.39402850001352,,,,,,,,,33.80951829999685,33.82164580002427,34.12231060001068,34.106204300012905,,,,,,,,5.0,,,,,,,,,,,,,,33.37777520000236,33.39402850001352,33.39402850001352,33.39402850001352,33.39402850001352,33.80946680001216,None,None,a,0.4031232999986969,None,,,,,,,,999,001,2024-10-31_10h41.01.166,resting_state_demo,2024.2.4,59.67990088139299,2024-10-31 10h41.04.935303 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.1063298000081,34.12231060001068,34.12231060001068,36.35934520000592,a,2.2309416999923997,None,999,001,2024-10-31_10h41.01.166,resting_state_demo,2024.2.4,59.67990088139299,2024-10-31 10h41.04.935303 -0400,
